Type,Indicator,Souce
domain,apispyhuman.com,original
domain,file.apispyhuman.com,original
domain,www.apispyhuman.com,original
domain,ns1.spy-datacenter.com,original
domain,ns2.spy-datacenter.com,original
domain,spy-datacenter.com,original
domain,www.spy-datacenter.com,original
domain,account.spy2mobile.com,original
domain,forum.spy2mobile.com,original
domain,proxy.spy2mobile.com,original
domain,proxy1.spy2mobile.com,original
domain,proxy2.spy2mobile.com,original
domain,spy2mobile.com,original
domain,www.spy2mobile.com,original
domain,mail.tchsrvce.com,original
domain,tchsrvce.com,original
domain,www.tchsrvce.com,original
domain,autodiscover.onlinefundb.com,original
domain,callsmstracker.onlinefundb.com,original
domain,cpanel.onlinefundb.com,original
domain,cpcalendars.onlinefundb.com,original
domain,cpcontacts.onlinefundb.com,original
domain,initialcloudflare.onlinefundb.com,original
domain,mail.onlinefundb.com,original
domain,onlinefundb.com,original
domain,webdisk.onlinefundb.com,original
domain,webmail.onlinefundb.com,original
domain,www.callsmstracker.onlinefundb.com,original
domain,www.onlinefundb.com,original
domain,m.trackmyphones.com,original
domain,trackmyphones.com,original
domain,www.trackmyphones.com,original
domain,fortress.net,original
domain,mail.fortress.net,original
domain,www.fortress.net,original
domain,de.wisemo.com,original
domain,dns0v64-hq.wisemo.com,original
domain,dns0v64-hq0.wisemo.com,original
domain,dns0v64-hq2.wisemo.com,original
domain,dns0v6n-hq.wisemo.com,original
domain,dns0v6n-hq2.wisemo.com,original
domain,download.wisemo.com,original
domain,gw1v64-hq0.wisemo.com,original
domain,gw1v64-hq1.wisemo.com,original
domain,gw2gw1v64-hq.wisemo.com,original
domain,gw2gw1v64-hq0.wisemo.com,original
domain,gw2gw1v64-hq1.wisemo.com,original
domain,gw2v64-hq0.wisemo.com,original
domain,gw2v64-hq1.wisemo.com,original
domain,gwv64-hq.wisemo.com,original
domain,gwv64-hq1.wisemo.com,original
domain,hq.wisemo.com,original
domain,hq0.wisemo.com,original
domain,hq1.wisemo.com,original
domain,hq2.wisemo.com,original
domain,hq2v64.wisemo.com,original
domain,hq2v6n.wisemo.com,original
domain,hqv64.wisemo.com,original
domain,hqv6n.wisemo.com,original
domain,imap-hq.wisemo.com,original
domain,imap-hq0.wisemo.com,original
domain,imap-hq2.wisemo.com,original
domain,imapv64-hq.wisemo.com,original
domain,imapv64-hq0.wisemo.com,original
domain,imapv64-hq2.wisemo.com,original
domain,imapv6n-hq.wisemo.com,original
domain,imapv6n-hq2.wisemo.com,original
domain,lb3.wisemo.com,original
domain,lb3test.wisemo.com,original
domain,lb3testa.wisemo.com,original
domain,lb3testv64.wisemo.com,original
domain,lb3v64.wisemo.com,original
domain,lb4.wisemo.com,original
domain,lb4a.wisemo.com,original
domain,lb4v64.wisemo.com,original
domain,mx1v64-hq.wisemo.com,original
domain,mx1v64-hq0.wisemo.com,original
domain,mx1v64-hq2.wisemo.com,original
domain,mx1v64.wisemo.com,original
domain,mx1v6n-hq.wisemo.com,original
domain,mx1v6n-hq2.wisemo.com,original
domain,mx1v6n.wisemo.com,original
domain,mycloud-cs10.wisemo.com,original
domain,mycloud-cs10a.wisemo.com,original
domain,mycloud-cs11.wisemo.com,original
domain,mycloud-cs11a.wisemo.com,original
domain,mycloud-cs11old.wisemo.com,original
domain,mycloud-cs12.wisemo.com,original
domain,mycloud-cs12a.wisemo.com,original
domain,mycloud-cs14.wisemo.com,original
domain,mycloud-cs15.wisemo.com,original
domain,mycloud-cs15a.wisemo.com,original
domain,mycloud-cs16.wisemo.com,original
domain,mycloud-cs16a.wisemo.com,original
domain,mycloud-cs17.wisemo.com,original
domain,mycloud-cs17a.wisemo.com,original
domain,mycloud-cs18.wisemo.com,original
domain,mycloud-cs18a.wisemo.com,original
domain,mycloud-cs3.wisemo.com,original
domain,mycloud-cs4.wisemo.com,original
domain,mycloud-cs4a.wisemo.com,original
domain,mycloud-cs5.wisemo.com,original
domain,mycloud-cs5a.wisemo.com,original
domain,mycloud-cs9.wisemo.com,original
domain,mycloud.wisemo.com,original
domain,net243v64-hq.wisemo.com,original
domain,net243v64-hq0.wisemo.com,original
domain,net243v64-hq2.wisemo.com,original
domain,net243v6n-hq.wisemo.com,original
domain,net243v6n-hq2.wisemo.com,original
domain,net244v64-hq.wisemo.com,original
domain,net244v64-hq0.wisemo.com,original
domain,net244v64-hq1.wisemo.com,original
domain,net244v64-hq2.wisemo.com,original
domain,net244v6n-hq.wisemo.com,original
domain,net244v6n-hq1.wisemo.com,original
domain,net244v6n-hq2.wisemo.com,original
domain,net247v64-hq0.wisemo.com,original
domain,net247v64-hq1.wisemo.com,original
domain,net247v6n-hq1.wisemo.com,original
domain,netv64-hq.wisemo.com,original
